City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Georgetown,MY,5.4112,100.3354,79.9,87,20,5.75,few clouds
80,Atuona,PF,-9.8,-139.0333,78.08,77,19,12.91,light rain
81,Cherskiy,RU,68.75,161.3,-23.64,97,98,7.85,overcast clouds
82,Bredasdorp,ZA,-34.5322,20.0403,65.28,78,97,14.56,overcast clouds
83,Takoradi,GH,4.8845,-1.7554,78.21,87,68,6.04,light rain
84,Kysyl-Syr,RU,63.8986,122.7617,-29.33,100,99,0.31,overcast clouds
85,Les Cayes,HT,18.2,-73.75,77.23,75,6,7.65,clear sky
86,Mayo,US,38.8876,-76.5119,34.21,67,100,10.36,overcast clouds
87,Corumba,BR,-19.0092,-57.6533,86.18,45,98,0.6,overcast clouds
88,Erenhot,CN,43.6475,111.9767,-8.37,95,12,2.55,few clouds
89,Fort Nelson,CA,58.8053,-122.7002,14.23,90,96,2.8,overcast clouds
90,La Ronge,CA,55.1001,-105.2842,12.54,88,100,7.58,overcast clouds
91,Provideniya,RU,64.3833,-173.3,-3.89,65,0,6.71,clear sky
92,Victoria,HK,22.2855,114.1577,60.24,83,100,10.0,overcast clouds
93,Bitung,ID,1.4451,125.1824,74.25,80,79,3.51,broken clouds
94,Bluff,NZ,-46.6,168.3333,63.81,65,34,0.34,scattered clouds
95,Saldanha,ZA,-33.0117,17.9442,64.71,90,0,18.92,clear sky
96,Madarounfa,NE,13.3087,7.156,71.83,12,1,10.09,clear sky
97,Zhanaozen,KZ,43.3,52.8,27.48,86,24,8.32,few clouds
98,Namerikawa,JP,36.7667,137.3333,42.31,55,100,9.55,overcast clouds
99,Bima,ID,-8.4667,118.7167,77.14,91,94,2.24,overcast clouds
100,Souillac,MU,-20.5167,57.5167,81.36,85,73,12.5,broken clouds
101,Constitucion,CL,-35.3333,-72.4167,63.77,80,58,6.2,broken clouds
102,Namibe,AO,-15.1961,12.1522,75.02,80,100,1.86,overcast clouds
103,Manono,CD,-7.3,27.4167,68.81,97,100,2.44,light rain
104,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,0.0,clear sky
105,Yellowknife,CA,62.456,-114.3525,-11.58,71,72,4.0,broken clouds
106,New Norfolk,AU,-42.7826,147.0587,63.66,66,96,3.13,light rain
107,Busselton,AU,-33.65,115.3333,65.05,71,0,12.26,clear sky
108,Pisco,PE,-13.7,-76.2167,73.45,64,0,20.71,clear sky
109,Half Moon Bay,US,37.4636,-122.4286,81.19,48,4,3.67,clear sky
110,Komsomolskiy,UZ,40.4272,71.7189,35.02,84,100,1.63,overcast clouds
111,Walvis Bay,NA,-22.9575,14.5053,72.09,84,5,9.4,light rain
112,Yarke Pole,UA,45.608,34.3172,32.0,78,86,7.67,overcast clouds
113,Kaitangata,NZ,-46.2817,169.8464,59.94,69,8,4.63,clear sky
114,Hithadhoo,MV,-0.6,73.0833,82.04,73,81,10.74,broken clouds
115,Barrow,US,71.2906,-156.7887,-27.38,68,0,9.22,clear sky
116,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,89,9,11.25,clear sky
117,Ribeira Grande,PT,38.5167,-28.7,58.12,69,100,10.07,overcast clouds
118,Khatanga,RU,71.9667,102.5,-26.57,97,75,2.68,broken clouds
119,Fare,PF,-16.7,-151.0167,81.1,73,100,15.82,light rain
120,Itapirapua,BR,-15.8233,-50.6133,72.73,93,38,3.2,scattered clouds
121,Maniitsoq,GL,65.4167,-52.9,1.67,85,100,9.13,light snow
122,Vilyuysk,RU,63.7553,121.6247,-28.75,100,99,0.76,overcast clouds
123,Guerrero Negro,MX,27.9769,-114.0611,81.18,20,13,10.09,few clouds
124,Omaruru,NA,-21.4333,15.9333,65.07,89,100,6.58,moderate rain
125,Sungairaya,ID,0.7,108.9,76.42,91,89,2.51,overcast clouds
126,Ushtobe,KZ,45.2514,77.9838,25.72,89,100,3.69,overcast clouds
127,Castro,BR,-24.7911,-50.0119,66.67,91,48,4.47,scattered clouds
128,Hermanus,ZA,-34.4187,19.2345,65.8,83,67,18.97,broken clouds
129,Abonnema,NG,4.7084,6.7931,81.23,77,12,7.47,few clouds
130,Qaqortoq,GL,60.7167,-46.0333,21.7,95,100,10.49,light snow
131,Coxim,BR,-18.5067,-54.76,81.16,61,45,1.5,scattered clouds
132,Sao Filipe,CV,14.8961,-24.4956,73.94,67,61,10.78,broken clouds
133,Williams Lake,CA,52.1415,-122.1445,33.22,50,100,2.73,overcast clouds
134,Dudinka,RU,69.4058,86.1778,-15.23,90,11,7.05,few clouds
135,Broome,US,42.2506,-75.833,20.17,66,0,9.22,clear sky
136,Sandeid,NO,59.5449,5.8636,42.48,97,100,4.43,light rain
137,Port Alfred,ZA,-33.5906,26.891,70.56,87,76,11.3,broken clouds
138,Acapulco,MX,16.8634,-99.8901,85.82,66,75,4.61,broken clouds
139,Ferme-Neuve,CA,46.7001,-75.4493,-6.18,93,60,2.84,broken clouds
140,Katsuura,JP,35.1333,140.3,39.11,89,100,27.02,overcast clouds
141,Upernavik,GL,72.7868,-56.1549,-5.75,95,100,13.96,overcast clouds
142,Cape Town,ZA,-33.9258,18.4232,68.34,83,7,8.01,clear sky
143,Goksun,TR,38.021,36.4973,29.35,64,74,1.12,broken clouds
144,Athabasca,CA,54.7169,-113.2854,22.17,76,87,4.9,overcast clouds
